,ZipCode,ZipName,State,County
506,3264,Plymouth,NH,Plymouth
507,3266,Rumney,NH,Grafton County
508,3269,Sanbornton,NH,Meredith Town
509,3275,Suncook,NH,Hooksett
510,3276,Tilton,NH,Belknap County
511,3278,Warner,NH,Henniker
512,3280,Washington,NH,Sullivan County
513,3281,Weare,NH,Henniker
514,3285,Thornton,NH,Grafton County
515,3287,Wilmot,NH,Merrimack County
516,3290,Nottingham,NH,Rockingham County
517,3301,Concord,NH,Merrimack County
518,3303,Concord,NH,Merrimack County
519,3304,Bow,NH,Hooksett
520,3307,Loudon,NH,Merrimack County
521,3431,Keene,NH,Cheshire County
522,3440,Antrim,NH,Hillsborough County
523,3444,Dublin,NH,Cheshire County
524,3446,Swanzey,NH,Cheshire County
525,3447,Fitzwilliam,NH,Cheshire County
526,3449,Hancock,NH,Peterborough
527,3451,Hinsdale,NH,Cheshire County
528,3452,Jaffrey,NH,Jaffrey Township
529,3458,Peterborough,NH,Peterborough
530,3461,Rindge,NH,Cheshire County
531,3462,Spofford,NH,Chesterfield
532,3464,Stoddard,NH,Cheshire County
533,3470,Winchester,NH,Cheshire County
534,3561,Littleton,NH,Littleton
535,3570,Berlin,NH,Coos County
536,3574,Bethlehem,NH,Grafton County
537,3576,Colebrook,NH,Dixville Township
538,3579,Errol,NH,Coos County
539,3580,Franconia,NH,Grafton County
540,3581,Gorham,NH,Coos County
541,3582,Groveton,NH,Northumberland
542,3583,Jefferson,NH,Coos County
543,3584,Lancaster,NH,Lancaster
544,3585,Lisbon,NH,Grafton County
545,3588,Milan,NH,Coos County
546,3590,North Stratford,NH,Stratford
547,3592,Pittsburg,NH,Coos County
548,3598,Whitefield,NH,Coos County
549,3602,Alstead,NH,Cheshire County
550,3603,Charlestown,NH,Charlestown
551,3608,Walpole,NH,Cheshire County
552,3741,Canaan,NH,Hanover
553,3743,Claremont,NH,Sullivan County
554,3748,Enfield,NH,Grafton County
555,3753,Grantham,NH,Sullivan County
556,3755,Hanover,NH,Hanover
557,3765,Haverhill,NH,Grafton County
558,3766,Lebanon,NH,Hanover
559,3773,Newport,NH,Newport
560,3774,North Haverhill,NH,Haverhill
561,3782,Sunapee,NH,Newport
562,3784,West Lebanon,NH,Lebanon
563,3785,Woodsville,NH,Haverhill
564,3801,Portsmouth,NH,Kittery
565,3809,Alton,NH,Farmington
566,3810,Alton Bay,NH,Alton
567,3811,Atkinson,NH,Rockingham County
568,3812,Bartlett,NH,Carroll County
569,3813,Center Conway,NH,Conway
570,3814,Center Ossipee,NH,Ossipee
571,3816,Center Tuftonboro,NH,Tuftonboro
572,3818,Conway,NH,Conway
573,3819,Danville,NH,Rockingham County
574,3820,Dover,NH,Strafford County
575,3824,Durham,NH,Newmarket
576,3825,Barrington,NH,Strafford County
577,3827,East Kingston,NH,Rockingham County
578,3830,East Wakefield,NH,Wakefield
579,3833,Exeter,NH,Exeter
580,3835,Farmington,NH,Farmington
581,3836,Freedom,NH,Carroll County
582,3840,Greenland,NH,Rockingham County
583,3841,Hampstead,NH,Rockingham County
584,3842,Hampton,NH,Rockingham County
585,3844,Hampton Falls,NH,Exeter
586,3846,Jackson,NH,Carroll County
587,3848,Kingston,NH,Rockingham County
588,3849,Madison,NH,Conway
589,3851,Milton,NH,Farmington
590,3855,New Durham,NH,Farmington
591,3856,Newfields,NH,Rockingham County
592,3857,Newmarket,NH,Newmarket
593,3858,Newton,NH,Rockingham County
594,3860,North Conway,NH,Conway
595,3861,Lee,NH,Newmarket
596,3862,North Hampton,NH,Rockingham County
597,3864,Ossipee,NH,Carroll County
598,3865,Plaistow,NH,Rockingham County
599,3867,Rochester,NH,Farmington
600,3868,Rochester,NH,Farmington
601,3869,Rollinsford,NH,Strafford County
602,3870,Rye,NH,Kittery
603,3872,Sanbornville,NH,Wakefield
604,3873,Sandown,NH,Derry
605,3874,Seabrook,NH,Rockingham County
606,3878,Somersworth,NH,Strafford County
607,3882,Effingham,NH,Carroll County
608,3884,Strafford,NH,Farmington
609,3885,Stratham,NH,Rockingham County
610,3886,Tamworth,NH,Carroll County
611,3887,Union,NH,Wakefield
612,3894,Wolfeboro,NH,Carroll County
613,3901,Berwick,ME,North Berwick
614,3902,Cape Neddick,ME,York
615,3903,Eliot,ME,Kittery
616,3904,Kittery,ME,Kittery
617,3905,Kittery Point,ME,Kittery
618,3906,North Berwick,ME,North Berwick
619,3907,Ogunquit,ME,York County
620,3908,South Berwick,ME,North Berwick
621,3909,York,ME,Kittery
622,4001,Acton,ME,York County
623,4002,Alfred,ME,Sanford
624,4005,Biddeford,ME,Kennebunkport
625,4009,Bridgton,ME,Cumberland County
626,4010,Brownfield,ME,Conway
627,4011,Brunswick,ME,Brunswick
628,4015,Casco,ME,Cumberland County
629,4020,Cornish,ME,York County
630,4021,Cumberland Center,ME,Cumberland
631,4022,Denmark,ME,Oxford County
632,4027,Lebanon,ME,York County
633,4029,Sebago,ME,Cumberland County
634,4032,Freeport,ME,Freeport
635,4037,Fryeburg,ME,Conway
636,4038,Gorham,ME,Gorham
637,4039,Gray,ME,Cumberland County
638,4040,Harrison,ME,Cumberland County
639,4041,Hiram,ME,Oxford County
640,4042,Hollis Center,ME,Little Falls Road
641,4043,Kennebunk,ME,Kennebunk
642,4046,Kennebunkport,ME,Kennebunkport
643,4047,Parsonsfield,ME,York County
644,4048,Limerick,ME,York County
645,4049,Limington,ME,York County
646,4051,Lovell,ME,Oxford County
647,4055,Naples,ME,Cumberland County
648,4062,Windham,ME,Gorham
649,4064,Old Orchard Beach,ME,Scarborough Town
650,4071,Raymond,ME,Cumberland County
651,4072,Saco,ME,Scarborough Town
652,4073,Sanford,ME,Sanford
653,4074,Scarborough,ME,Scarborough Town
654,4076,Shapleigh,ME,Sanford
655,4079,Harpswell,ME,Cumberland County
656,4083,Springvale,ME,Sanford
657,4084,Standish,ME,Gorham
