Zip Code,Median Income,Median Age,Total Population,White Pop,Black Pop,Asian Pop,Hispanic Pop,Pacific Pop,Native Pop,Other Pop
85937,52159,37.6,7500,7250,26,19,595,0,44,57
86001,46328,29.1,42401,33149,696,1185,6452,65,3481,2011
86004,59714,35.1,36811,27303,766,240,7754,10,4679,2492
86024,66458,63.7,522,497,0,0,10,0,0,0
86025,46563,33.5,5748,3578,72,58,1291,0,1276,516
86040,52690,32,10305,4676,2,0,780,25,5065,373
86046,47279,44.4,6227,4896,52,60,1448,11,466,370
86047,34355,32.4,15420,5164,318,29,4054,84,7404,1730
86301,45587,52,21655,19933,150,484,1944,12,394,259
86303,45727,57.7,16383,15658,159,204,1017,0,79,95
86305,58264,56.6,17860,16740,8,250,1441,0,450,154
86314,40298,36.5,35418,31910,210,256,7319,0,309,1742
86315,56180,49,6768,6467,100,84,555,0,2,52
86320,26204,49.3,2031,1846,22,0,651,0,0,108
86322,38039,47.3,11295,9596,34,0,1453,1,1048,274
86323,43439,51.3,16220,15470,54,34,1535,0,198,274
86324,45297,57.4,4259,3647,23,0,690,0,435,39
86325,43777,58.6,4667,4309,76,36,391,0,64,28
86326,38341,43.6,24871,21675,185,62,6488,0,272,1541
86327,50269,58.7,9570,9183,19,0,616,0,83,108
86332,36484,54.6,1984,1858,9,0,224,0,7,85
86333,37446,50.4,5713,5571,0,14,396,0,37,35
86334,43984,45.8,4333,4000,35,59,1153,0,83,145
86335,41528,45.4,5652,5179,0,0,639,0,190,215
86336,49796,58,11146,10466,0,261,1438,0,196,105
86337,32554,54.5,1036,881,12,0,174,0,8,65
86343,38500,58.6,111,104,0,0,0,0,0,0
86351,58443,62.6,6546,6115,44,58,602,0,141,7
86401,43692,44.4,26010,23320,227,117,3455,219,463,303
86403,37807,44.1,15839,14968,124,38,2835,6,44,553
86404,41050,56.7,15969,14632,50,343,1948,0,48,678
86406,44981,52.4,24485,22630,206,339,2587,50,171,461
86409,31237,45.8,25705,23389,136,357,3746,0,205,483
86413,33662,48.4,14571,11281,681,171,2979,2,438,1176
86426,41600,50.4,13573,12159,30,309,2144,45,65,503
86429,41176,54.8,7106,6416,225,83,1084,0,68,126
86432,35548,45.8,3636,3479,0,48,747,0,5,104
86440,39167,48.1,6781,5645,0,7,1351,0,684,37
86442,36395,49.4,33108,29492,435,496,7439,0,339,1134
87002,36744,37.6,22094,16531,236,25,13089,0,456,4117
87004,42555,36.7,10447,5269,29,83,6528,7,1569,3165
87008,81348,46.5,3112,2847,0,45,832,0,4,37
87010,45332,49.8,1281,1221,0,0,125,0,7,10
87015,62572,49.2,12785,11486,62,93,2994,0,70,535
