Zip Code,Median Income,Median Age,Total Population,White Percent,Black Percent,Asian Percent,Hispanic Percent,Pacific Percent,Native Percent,Other Percent,ZipName,State,Lat,Long,County
17019,66632,41.2,18556,0.963731407630955,0.005227419702522096,0.015305022634188403,0.022903643026514334,0.0,0.0013472731192067256,0.0017245095925846087,Dillsburg,PA,40.11,-77.03,York County
17020,61077,43.8,9105,0.9749588138385502,0.002416254805052169,0.012520593080724876,0.007797913234486546,0.0,0.0,0.0,Duncannon,PA,40.39,-77.02,Perry County
17022,59400,39.4,29351,0.9687233825082621,0.008551667745562331,0.006337092432966509,0.027222241150216347,0.0,0.0006814077884910225,0.00909679397635515,Elizabethtown,PA,40.15,-76.59,Lancaster County
17025,66420,39.7,17134,0.8955877203221665,0.021536126998949457,0.03256682619353333,0.03729426870549784,0.0003501809268121863,0.0,0.025913388584101787,Enola,PA,40.28,-76.93,East Pennsboro Township
17026,62622,41.9,3878,0.9589994842702424,0.012377514182568335,0.006446621970087674,0.021918514698298093,0.0,0.0,0.01263537906137184,Fredericksburg,PA,40.45,-76.42,Bethel Township
17032,56635,45.8,8459,0.9786026717106041,0.00401938763447216,0.006265516018441896,0.008984513535878945,0.0,0.0,0.0027189975174370493,Halifax,PA,40.46,-76.93,Dauphin County
17033,58057,41.1,17491,0.8449488308272826,0.050082899777028185,0.05185523983763078,0.0615173517809159,0.0,0.0,0.03218798239094391,Hershey,PA,40.28,-76.64,Derry Township
17034,42534,37.7,2438,0.8236259228876128,0.07095980311730928,0.009844134536505332,0.17104183757178015,0.0,0.002871205906480722,0.02420016406890894,Highspire,PA,40.2,-76.78,Dauphin County
17036,72314,40.9,21663,0.8943359645478466,0.02077274615704196,0.04934681253750635,0.04011448091215437,0.0,0.0019849512994506765,0.009878594839126622,Hummelstown,PA,40.26,-76.71,Dauphin County
17038,64543,38.8,8312,0.930822906641001,0.011549566891241578,0.010346487006737248,0.04367179980750722,0.0,0.0,0.03248315688161694,Jonestown,PA,40.41,-76.48,Lebanon County
17042,59258,43.0,36945,0.8902963865205035,0.02828528894302341,0.011287048315062932,0.102557856272838,0.0,0.0030044660982541617,0.034131817566653136,Lebanon,PA,40.34,-76.42,Lebanon County
17043,42893,38.2,6000,0.883,0.015333333333333332,0.011166666666666667,0.059,0.0,0.0,0.030666666666666665,Lemoyne,PA,40.24,-76.89,Cumberland County
17044,35717,43.7,21088,0.9659996206373292,0.010527314112291351,0.00621206373292868,0.018161987860394538,0.0003319423368740516,0.0005690440060698028,0.0024658573596358117,Lewistown,PA,40.59,-77.57,Mifflin County
17046,45826,37.4,30863,0.738424650876454,0.021060817159705796,0.008553931892557431,0.27424424067653824,0.0,0.0012312477724135697,0.1980688850727408,Lebanon,PA,40.34,-76.42,Lebanon County
17049,46042,41.3,3246,0.9993838570548367,0.0,0.0006161429451632779,0.0,0.0,0.0,0.0,McAlisterville,PA,40.65,-77.28,Fayette Township
17050,81082,43.2,34596,0.8849577985894324,0.015406405364782055,0.07182911319227657,0.03734535784483756,0.0013296334836397272,0.0,0.007919990750375767,Mechanicsburg,PA,40.24,-77.02,Cumberland County
17053,64173,43.3,4915,0.940996948118006,0.003662258392675483,0.0024415055951169887,0.027670396744659206,0.0,0.007731434384537131,0.024211597151576805,Marysville,PA,40.33,-76.93,Perry County
17055,61499,43.9,34844,0.9246642176558374,0.029732522098496153,0.020749626908506486,0.017592698886465388,0.0,0.0015210653197107106,0.005653771094019057,Mechanicsburg,PA,40.21,-77.0,Cumberland County
17057,52277,38.6,22161,0.862731826181129,0.07526736158115609,0.01836559722034204,0.039935020982807636,0.0,0.0025720860971977797,0.009656603943865348,Middletown,PA,40.19,-76.7,Dauphin County
17059,52626,43.1,7955,0.966436203645506,0.006662476429918291,0.0,0.05870521684475173,0.0,0.0038969201759899434,0.018101822752985542,Mifflintown,PA,40.57,-77.39,Juniata County
17061,53735,46.5,6829,0.9749597305608435,0.014789866744764972,0.0,0.01698638160784888,0.0,0.002928686484111876,0.004832332698784595,Millersburg,PA,40.54,-76.95,Dauphin County
17063,49890,44.0,3293,0.9823868812632858,0.0021257212268448226,0.009717582751290617,0.0024293956878226543,0.0,0.0,0.0,Milroy,PA,40.71,-77.58,Armagh Township
17065,56786,43.1,4341,0.9603777931352223,0.0396222068647777,0.0,0.017737848422022577,0.0,0.0,0.0,Mount Holly Springs,PA,40.11,-77.18,Cumberland County
17067,55887,39.0,14289,0.9666876618377773,0.008678004059066415,0.005108824970256841,0.040870599762054725,0.0,0.0,0.014416684162642593,Myerstown,PA,40.37,-76.3,Jackson Township
17070,60638,39.2,15375,0.9454959349593496,0.013008130081300813,0.008455284552845528,0.04565853658536585,0.0,0.0018211382113821138,0.010146341463414634,New Cumberland,PA,40.23,-76.87,Cumberland County
17073,61283,35.4,5400,0.97,0.0038888888888888888,0.0,0.032407407407407406,0.0,0.0,0.016666666666666666,Newmanstown,PA,40.35,-76.21,Millcreek Township
17074,51915,39.1,7279,0.9608462700920456,0.014974584420936942,0.002198104135183404,0.02623986811375189,0.0,0.0,0.0019233411182854787,Newport,PA,40.47,-77.13,Perry County
17078,59705,44.1,20849,0.9369753945033334,0.015876061201976113,0.016451628375461654,0.024653460597630582,0.0,0.00043167538011415414,0.004892320974627081,Palmyra,PA,40.3,-76.59,Lebanon County
17082,48045,42.9,3588,0.9542920847268673,0.015050167224080268,0.00947603121516165,0.013099219620958752,0.0,0.002787068004459309,0.0011148272017837235,Port Royal,PA,40.53,-77.39,Juniata County
17084,44375,46.6,4346,0.9864242982052462,0.0,0.0025310630464795212,0.0,0.0,0.0,0.0,Reedsville,PA,40.65,-77.6,Brown Township
17098,44917,42.4,2353,0.9736506587335316,0.009774755631109222,0.00042498937526561835,0.010199745006374841,0.0,0.0,0.0,Williamstown,PA,40.58,-76.61,Dauphin County
17102,35731,35.3,8257,0.5349400508659319,0.39687537846675547,0.011142061281337047,0.1209882523919099,0.0,0.0015744217027976262,0.023979653627225383,Harrisburg,PA,40.27,-76.88,Dauphin County
17103,33833,33.4,10850,0.3009216589861751,0.5365898617511521,0.05594470046082949,0.1896774193548387,0.0,0.0007373271889400922,0.06092165898617512,Harrisburg,PA,40.27,-76.88,Dauphin County
17104,28580,29.3,21133,0.28746510197321723,0.4899919557090806,0.04443287749018123,0.27383712676856103,0.0005205129418445086,0.006340794018833105,0.09142100033123551,Harrisburg,PA,40.27,-76.88,Dauphin County
17109,50324,39.5,23544,0.6512911994563371,0.23882942575603125,0.036909616038056405,0.09114848793747876,0.0014441046551138294,0.0011043153244988107,0.03933061501868841,Harrisburg,PA,40.27,-76.88,Dauphin County
17110,58056,38.9,24483,0.552097373687865,0.3414614222113303,0.05881632152922436,0.054976922762733325,0.001633786709145121,0.001633786709145121,0.01388718702773353,Harrisburg,PA,40.27,-76.88,Dauphin County
17111,68094,39.4,32059,0.6768770080164697,0.1796063507907296,0.05795564428085717,0.06930971022177859,0.0,0.0015908169312829471,0.034810817555132725,Harrisburg,PA,40.27,-76.88,Dauphin County
17112,75752,44.2,33600,0.9096726190476191,0.04071428571428572,0.02074404761904762,0.02032738095238095,0.0,0.001101190476190476,0.009970238095238095,Harrisburg,PA,40.27,-76.88,Dauphin County
17113,47848,33.4,11048,0.5986603910209993,0.30430847212165096,0.006245474293989863,0.1316980448950036,0.0,9.051412020275162e-05,0.03720130340333092,Harrisburg,PA,40.27,-76.88,Dauphin County
17201,43541,37.5,25258,0.8276585636234064,0.08828885897537414,0.012471296222978857,0.16228521656504868,0.0,0.009660305645736004,0.030564573600443425,Chambersburg,PA,39.93,-77.65,Franklin County
17202,63583,43.0,30598,0.9552258317537093,0.024184587227923392,0.01228838486175567,0.022648539120203936,0.0,0.0,0.00509837244264331,Chambersburg,PA,39.92,-77.71,Franklin County
17222,53205,45.5,10693,0.9378097821004395,0.024595529785841206,0.009538950715421303,0.02272514729262134,0.0,0.003179650238473768,0.004582437108388665,Fayetteville,PA,39.91,-77.56,Franklin County
17225,61389,39.5,19724,0.9515818292435612,0.030723991076860677,0.003295477590752383,0.030571892111133644,0.0,0.0016223889677550193,0.00010139931048468871,Greencastle,PA,39.79,-77.72,Antrim Township
17236,55702,42.4,8285,0.955944477972239,0.03379601689800845,0.0,0.01375980687990344,0.0,0.0,0.0037417018708509353,Mercersburg,PA,39.83,-77.9,Franklin County
17241,53158,42.1,11520,0.9785590277777778,0.0050347222222222225,0.0025173611111111113,0.006597222222222222,0.0,0.0006944444444444445,0.00043402777777777775,Newville,PA,40.17,-77.4,Cumberland County
17257,46125,29.1,29013,0.9245165960086857,0.038327646227553164,0.007238134629304105,0.03301968083273016,0.0,0.0008616826939647744,0.009754248095681246,Shippensburg,PA,40.04,-77.52,Cumberland County
17268,51188,40.9,28153,0.9467197101552233,0.027386068980215252,0.014065996519021063,0.025254857386424183,0.0006038432849074699,0.0013497673427343446,0.003054736617767201,Waynesboro,PA,39.75,-77.58,Washington Township
17301,64549,42.6,3870,0.9777777777777777,0.002583979328165375,0.003875968992248062,0.02945736434108527,0.0,0.0,0.008527131782945736,Abbottstown,PA,39.88,-76.98,Adams County
17304,63477,42.9,2956,0.9286197564276049,0.0033829499323410014,0.006089309878213802,0.07916102841677942,0.0,0.0,0.060554803788903926,Aspers,PA,39.97,-77.23,Menallen Township
17307,56645,40.8,6108,0.9048788474132285,0.010805500982318271,0.0018009168303863784,0.112475442043222,0.0,0.0068762278978389,0.06335952848722987,Biglerville,PA,39.93,-77.24,Adams County
